Branch,Kabupaten,Type,Name,Address,Telephone,Class,Kecamatan,Lat,Long
SAMARINDA,SAMARINDA,P1,PKM LEMPAKE,Jl. DI. Panjaitan No 1 Samarinda - Kec. Smd  Utara ,0541-280620,,,,
SAMARINDA,SAMARINDA,P1,PKM TEMINDUNG,"Jl. Pelita No.9, Kec. Samarinda Utara",0541-766301,,,,
SAMARINDA,SAMARINDA,P1,PKM SIDOMULYO,"Jelawat Gang 6 RT.08, Kel. Sidodamai",0541-736044,,,,
SAMARINDA,SAMARINDA,P1,PKM SEMPAJA,Jl. Wahid Hasyim,0541-220347,,,,
SAMARINDA,SAMARINDA,P1,PKM SEI SIRING,Jl. Samarinda-Bontang Km. 32,0541-7004077,,,,
SAMARINDA,SAMARINDA,P1,PKM SAMBUTAN,"Jl. Pelita VI, Kec. Samarinda Ilir",0541-7078614,,,,
SAMARINDA,SAMARINDA,P1,PKM REMAJA,"Jl. Mayjen Sutoyo, Kec. Samarinda Utara",0541-7772623,,,,
SAMARINDA,SAMARINDA,P1,PKM BENGKURING,"Komplek Perum Bengkuring, Kec. Samarinda Utara",0541-776243,,,,
SAMARINDA,SAMARINDA,P1,PKM SUNGAI KAPIH,"Sungai Kapih, Kec. Samarinda Ilir",0541-7069403,,,,
SAMARINDA,SAMARINDA,P1,PKM PASUNDAN,"Jl. Pasundan, Kec. Samarinda Ulu",0541-738937,,,,
SAMARINDA,SAMARINDA,P1,PKM WONOREJO,"Jl. Cendana, Kec. Samarinda Ulu",0541-7062327,,,,
SAMARINDA,SAMARINDA,P1,PKM KARANG ASAM,"Jl. Slamet Riyadi, Kec. Samarinda Ulu",0541-7031816,,,,
SAMARINDA,SAMARINDA,P1,PKM AIR PUTIH,"Jl. Pangeran Suryanata, Kec. Samarinda Ulu",0541-6291150,,,,
SAMARINDA,SAMARINDA,P1,PKM SEGIRI,"Jl. Ramania, Kec. Samarinda Ulu",0541-7242308,,,,
SAMARINDA,SAMARINDA,P1,PKM JUANDA,"Jl. Salak, Kec. Samarinda Ulu",0541-200951,,,,
SAMARINDA,SAMARINDA,P1,PKM LOA BAKUNG,"Jl. Tunggal Gg. Sukarame, Kec. Sungai Kunjang",0541-7076847,,,,
SAMARINDA,SAMARINDA,P1,PKM KAMPUNG BAQA,"Jl. Lamadu Keleng, Kec. Samarinda Seberang",0541-263890,,,,
SAMARINDA,SAMARINDA,P1,PKM MANGKUPALAS,"Jl. R.W. Mongonsidi, Kec. Samarinda Seberang",0541-261489,,,,
SAMARINDA,SAMARINDA,P1,PKM PALARAN,"Jl. Kesehatan, Kec. Palaran",0541-681848,,,,
SAMARINDA,SAMARINDA,P1,PKM HARAPAN BARU,"Jl. Kurnia Makmur, Kec. Samarinda Seberang",0541-7268564,,,,
SAMARINDA,SAMARINDA,P1,PKM TRAUMA CENTER,Jl. Cipto Mangunkusumo,0541-207139,,,,
SAMARINDA,SAMARINDA,P1,PKM MAKROMAN,Jl. Sekolahan RT 1,81350981666,,,,
SAMARINDA,SAMARINDA,P1,PKM BANTUAS,Bantuas,8125862521,,,,
SAMARINDA,SAMARINDA,P1,PKM BUKUAN,Palaran,-,,,,
SAMARINDA,SAMARINDA,P2,"DR. RINI RETNO SUKESI, M. KES",Jl. Lambung Mangkurat ( Apotik Juwita Farma ),(0541) 767715,,,,
SAMARINDA,SAMARINDA,P2,DR. ELLEN ANGKAWIDJAYA,Jl. Juanda (Apotik Barokah ),08125803072,,,,
SAMARINDA,SAMARINDA,P2,DR. SLAMET SOEBAGIO,Jl. Cendana No. 61 ,081346628999,,,,
SAMARINDA,SAMARINDA,P2,DR. JOSEPHIEN M.P,Jl. A. Yani I No. 2 ( Apt. Sentra Medika ),08125808962,,,,
SAMARINDA,SAMARINDA,P2,"DR. MIEKE DHIPA ANGGRAINI, M. KES",Jl. Dr. Soetomo No. 28 Samarinda (Apt. Delfita Farma),085750555888 ,,,,
SAMARINDA,SAMARINDA,P2,"DR. ANI WIDYASTUTI, MPH",Jl. Lambung Mangkurat No. 69,08125804102,,,,
SAMARINDA,SAMARINDA,P2,DR. DIDI IRWADI ,Jl. Bung Tomo (Apotik Kimia Farma),085246211705,,,,
SAMARINDA,SAMARINDA,P2,"DR. H. M. NUH, MPH",Jl. Katamso No. 231,081347253259,,,,
SAMARINDA,SAMARINDA,P2,"DR. KUSUMA WIJAYANTI, M. SI",Jl. KH. Wachid Hasyim No. 27 (Apotek Alfi Farma),08125860612,,,,
SAMARINDA,SAMARINDA,P2,DR. EDISYAHPUTRA NASUTION,Jl. Slamet Riyadi ,0811558248,,,,
SAMARINDA,SAMARINDA,P2,DR. YOHANNIS,Jl. Jakarta Ruko No. 10,0816207915,,,,
SAMARINDA,SAMARINDA,P2,DR. DAUD PONGTULURAN,Jl. Juanda 8 kompleks ruko plaza no. 5,081346376635,,,,
SAMARINDA,SAMARINDA,P2,DR. S. MALIK,Jl. DI. Panjaitan RT. 02,081350212204,,,,
SAMARINDA,SAMARINDA,P2,DR. T. SINAGA,Jl. Camar no. 72 (Apotek Bethesda),081350057200,,,,
SAMARINDA,SAMARINDA,P2,"DR. FADILAH MANTE RUNA, M.SI",Jl. Abul Hasan (Apotek Tanjung Batu),0811588909,,,,
SAMARINDA,SAMARINDA,P2,DR. SOLIHIN WIJAYA,Jl. Pelita No. 32 RT. 36,0811559163,,,,
SAMARINDA,SAMARINDA,P2,DR. MAZNIATI,Jl. A. W. Syahranie No. 19 (Apotek Tata Farma),08125519201,,,,
SAMARINDA,SAMARINDA,P2,ANGGIA MAYANGSARI,JL. BUNG TOMO NO 72 SAMARINDA SEBERANG,(0541) -738134,,,,
SAMARINDA,SAMARINDA,P2,DR.FAUZIAH ANDRIYANI,JL POLI TMPI BUKUAN SAMARINDA,08137350630,,,,
SAMARINDA,SAMARINDA,P2,DR.IKA FIKRIA,JL. ANTASARI NO 55 SAMARINDA/ APT SABENA LOA BUAH SAMARINDA,085220277501,,,,
SAMARINDA,SAMARINDA,P2,DR.M ABDUH FAISAL,LOA BUAH SAMARINDA,081342411046,,,,
SAMARINDA,SAMARINDA,P2,DR.M SADIK,JL HIDAYATULLAH SAMARINDA,08125539647,,,,
SAMARINDA,SAMARINDA,P2,DR.NURLIANA ADRIATI NOOR,JL. AW SYAHRANIE NO 20 APOTIK TATA FARMA,08125544458,,,,
SAMARINDA,SAMARINDA,P2,DR.OSTWALD SIMATUPANG,JL PEMBANGUNAN SAMARINDA,08164512563,,,,
SAMARINDA,SAMARINDA,P2,DR.RIA KOMARYAH,JL. P. KALIMANTAN NO 31 APOTIK PADMA,0811559577,,,,
SAMARINDA,SAMARINDA,P2,DR.SAUT M SILITONGA,JL TRIBAKTI KEL SINDANG SARI RT 01 NO 1 SAMBUTAN,081346620631,,,,
SAMARINDA,SAMARINDA,P2,DR.SINATRA GUNAWAN MK3,JL AMPERA RAYA NO 29 PALARAN SAMARINDA,0811552805,,,,
SAMARINDA,SAMARINDA,P2,DR.YUNIATI,JL BIAWA APOTIK BIAWAN,0852202750,,,,
SAMARINDA,SAMARINDA,P2,DR.DJATMIKO,JL. PATIMURA NO G 16 SAMARINDA,0811598134,,,,
SAMARINDA,SAMARINDA,P2,DR.H. AGUS SUKACA,JL. P.HIDAYATULLAH NO. 64 SAMARINDA / APOTIK KIMIA FARMA,0811551046,,,,
SAMARINDA,SAMARINDA,P2,DR.PARMONO,JL COMP CITRA NIAGA UTARA NO 65 APOTIK DHARMA HUSADA,0811551955,,,,
SAMARINDA,SAMARINDA,P2,DR.YOHANES L,JL. KEHEWANAN NO 40 SAMARINDA,0811550240,,,,
SAMARINDA,SAMARINDA,P2,DR.YUSUF EFFENDI,JL. DIPONEGORO (DEPOT ANNA )& DS SEPARI / L4,08115500412,,,,
SAMARINDA,SAMARINDA,P3,DRG. APRILLIA LAILATI,Jl. Cendana No. 61 ,08125505305,,,,
SAMARINDA,SAMARINDA,P3,"DRG. NINA ENDANG RAHAYU, M. KES",Jl. Lambung Mangkurat ( Apotik Juwita Farma ),08164224756,,,,
SAMARINDA,SAMARINDA,P3,DRG. IDA APRIDA,Jl. P. Antasari (Laboratorium Kumala),08195051295,,,,
SAMARINDA,SAMARINDA,P3,DRG. HARIYO SANTOSA,Jl. Pattimura - Mangkupalas,085654282244,,,,
